page_id,book_id,catalog_generation,grade,viewer_page,selected_psm,recognized_words,mean_word_confidence,low_confidence_word_rate,ocr_class,front_matter_score,toc_navigation_score,bibliography_credits_score,primary_structure,classification_certainty,classification_rule,evidence_flags,classifier_version
LTMD-CN4-G1972-VP079,LTMD-CN4-G1972,1972,4,79,3,165,89.13,0.0727,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP080,LTMD-CN4-G1972,1972,4,80,3,117,91.01,0.0598,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP081,LTMD-CN4-G1972,1972,4,81,3,111,89.83,0.0450,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP082,LTMD-CN4-G1972,1972,4,82,3,62,89.88,0.0484,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP083,LTMD-CN4-G1972,1972,4,83,3,108,87.97,0.0926,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP084,LTMD-CN4-G1972,1972,4,84,3,196,91.54,0.0408,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP085,LTMD-CN4-G1972,1972,4,85,3,126,90.61,0.0556,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP086,LTMD-CN4-G1972,1972,4,86,3,195,92.69,0.0256,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP087,LTMD-CN4-G1972,1972,4,87,3,5,95.37,0.0000,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP088,LTMD-CN4-G1972,1972,4,88,6,18,41.17,0.7222,text_detected,,,,visual_only,medium,OCR_VISUAL_NOISE,fallback_psm;visual_noise,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP089,LTMD-CN4-G1972,1972,4,89,3,52,86.95,0.0962,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP090,LTMD-CN4-G1972,1972,4,90,3,35,83.39,0.0857,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP091,LTMD-CN4-G1972,1972,4,91,3,24,80.63,0.1667,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP092,LTMD-CN4-G1972,1972,4,92,3,54,85.47,0.1481,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP093,LTMD-CN4-G1972,1972,4,93,3,26,80.17,0.1538,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP094,LTMD-CN4-G1972,1972,4,94,3,87,87.08,0.0920,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP095,LTMD-CN4-G1972,1972,4,95,3,135,85.32,0.0963,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP096,LTMD-CN4-G1972,1972,4,96,3,68,89.38,0.0441,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP097,LTMD-CN4-G1972,1972,4,97,3,8,83.82,0.1250,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP098,LTMD-CN4-G1972,1972,4,98,3,73,88.46,0.0685,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP099,LTMD-CN4-G1972,1972,4,99,3,70,88.18,0.0857,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP100,LTMD-CN4-G1972,1972,4,100,3,73,88.18,0.0822,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP101,LTMD-CN4-G1972,1972,4,101,3,48,92.81,0.0208,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
